base_name,estimator,run_depth,target,method,logloss,auc,ap,brier,params_json
33gg,logreg,4,t2,ATL_selector,0.6316549729344066,0.735176282051282,0.7066257755941563,0.2146210670780347,
33gg,logreg,4,t2,Logistic_Dirty,0.6405516923771323,0.730869391025641,0.7055384405162449,0.2153758009642395,"{""lam1"": 0.001608973471498411, ""lam2"": 0.00026562898061107185, ""max_iter"": 1401, ""tol"": 1.0506760647864398e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t2,Logistic_L21,0.6335246646286781,0.7326722756410257,0.7041206412816176,0.213865881672978,"{""lam"": 0.0010408607600181105, ""max_iter"": 902, ""tol"": 4.128416976740774e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t2,Logistic_rMTFL,0.6285988304652896,0.7302684294871794,0.7048885603797275,0.2132587410473937,"{""tau"": 0.0034146996521063136, ""lam"": 0.013033489577346721, ""max_iter"": 1109, ""tol"": 0.0001018228219737117, ""tau_init"": 0.042558010647447, ""cont_factor"": 0.49584481146602205, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t2,Single_Task,0.6324610972640068,0.7346754807692307,0.7053188148461274,0.214600103844482,
33gg,logreg,4,t3,ATL_selector,0.6102868516981682,0.7395330112721417,0.7257178684769058,0.2073365260507339,
33gg,logreg,4,t3,Logistic_Dirty,0.6674742146620332,0.6610305958132046,0.65520313653851,0.233586329452636,"{""lam1"": 0.09514116261347058, ""lam2"": 0.06609486502982022, ""max_iter"": 790, ""tol"": 7.907048841531724e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t3,Logistic_L21,0.6710297744684268,0.6608293075684379,0.6561485298417378,0.2337575540069031,"{""lam"": 0.07616765170164494, ""max_iter"": 1229, ""tol"": 0.0009782129096294215, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t3,Logistic_rMTFL,0.6346997584079415,0.7153784219001611,0.7005333178445488,0.2181578314036615,"{""tau"": 0.12760716219199655, ""lam"": 0.3331982758755226, ""max_iter"": 1568, ""tol"": 0.0002989969054049159, ""tau_init"": 1.1043876578696645, ""cont_factor"": 0.5686270643871377, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t3,Single_Task,0.6570454703318773,0.673611111111111,0.6677624928652355,0.2287572441126809,
33gg,logreg,4,t4,ATL_selector,0.5984087906130133,0.7481992797118847,0.7267839851686322,0.2051363081301773,
33gg,logreg,4,t4,Logistic_Dirty,0.6665690080191727,0.652360944377751,0.6288480094042711,0.2358513430586489,"{""lam1"": 0.054493330020556445, ""lam2"": 2.3913141526821677, ""max_iter"": 1486, ""tol"": 0.00014483854967187694, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t4,Logistic_L21,0.6666925771471637,0.6522609043617447,0.6289899201164478,0.2358543111366629,"{""lam"": 0.05151376088578014, ""max_iter"": 446, ""tol"": 5.969758870908194e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t4,Logistic_rMTFL,0.6272678741172888,0.71218487394958,0.6876122190050614,0.2179933738431474,"{""tau"": 0.10600969282806091, ""lam"": 2.2237492221812802, ""max_iter"": 702, ""tol"": 1.889753702723391e-05, ""tau_init"": 0.470492023094322, ""cont_factor"": 0.43473179527781064, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t4,Single_Task,0.6624609428808743,0.6502601040416166,0.6278239053157861,0.2345803078173592,
33gg,logreg,4,t5,ATL_selector,0.5855759085764034,0.77734375,0.7786424833308321,0.1979470200708214,
33gg,logreg,4,t5,Logistic_Dirty,0.6206738616927384,0.7306690705128205,0.7497380793613456,0.2150224200800217,"{""lam1"": 0.07450597407531032, ""lam2"": 1.0205771839221442, ""max_iter"": 1467, ""tol"": 3.848770274899294e-06, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t5,Logistic_L21,0.6211256652520993,0.7291666666666665,0.7482889012142262,0.215316704443526,"{""lam"": 0.07833102301641374, ""max_iter"": 1418, ""tol"": 0.0009886802724179498, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t5,Logistic_rMTFL,0.5854225696454816,0.7863581730769231,0.7812428259115438,0.1978779709478151,"{""tau"": 0.1584567192865202, ""lam"": 0.5761350798815863, ""max_iter"": 737, ""tol"": 0.0008883377468208166, ""tau_init"": 2.0808912869494725, ""cont_factor"": 0.4283924877340227, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t5,Single_Task,0.6139290477542643,0.7414863782051283,0.7563688414863843,0.2117041994626043,
33gg,logreg,4,t6,ATL_selector,0.5200912359719483,0.825242718446602,0.8272726553163635,0.1725036390092729,
33gg,logreg,4,t6,Logistic_Dirty,0.6503498588931663,0.6928235411870685,0.6971592343139872,0.2269870047670671,"{""lam1"": 0.6786793500627553, ""lam2"": 0.01737687029603081, ""max_iter"": 447, ""tol"": 0.0006975034427172431, ""standardize"": false, ""random_state"": 42}"
33gg,logreg,4,t6,Logistic_L21,0.6403298729211852,0.6998298468621759,0.7027890204399652,0.2227063785095236,"{""lam"": 0.04330381072557806, ""max_iter"": 481, ""tol"": 5.162754991949488e-05, ""standardize"": false, ""random_state"": 42}"
